command_id	phase_id	operation_id	started_utc	ended_utc	cwd	command	exit_code	stdout_path	stderr_path	meta_path
1787889326460-verify-higher-order-method-checkpoint-retry-2	METHOD_AND_EVIDENCE_SURFACE_AUDIT	verify-higher-order-method-checkpoint-retry-2	2026-08-28T03:55:26Z	2026-08-28T03:55:26Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_method_checkpoint.py --repo . --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/method-independent-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787889326460-verify-higher-order-method-checkpoint-retry-2.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787889326460-verify-higher-order-method-checkpoint-retry-2.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787889326460-verify-higher-order-method-checkpoint-retry-2.meta.json
1787890080582-import-checkpoint-002-publication-receipts	LOCAL_CANDIDATE_UNIVERSE_CENSUS	import-checkpoint-002-publication-receipts	2026-08-28T04:08:00Z	2026-08-28T04:08:00Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/import_publication_receipts.py --receipt /Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787886827950748000-governance-preflight.json --receipt /Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787886967000709000-governance-preflight-correction.json --receipt /Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787887046000311000-governance-preflight-correction-2.json --receipt /Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787887589995269000-checkpoint-001.json --receipt /Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787887963842043000-checkpoint-001-record.json --receipt /Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787889513336433000-checkpoint-002.json --output-dir docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/publication-receipts --manifest docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/checkpoint-publication-manifest.tsv	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890080582-import-checkpoint-002-publication-receipts.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890080582-import-checkpoint-002-publication-receipts.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890080582-import-checkpoint-002-publication-receipts.meta.json
1787890871981-build-local-candidate-census	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census	2026-08-28T04:21:11Z	2026-08-28T04:21:17Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890871981-build-local-candidate-census.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890871981-build-local-candidate-census.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890871981-build-local-candidate-census.meta.json
1787890951009-build-local-candidate-census-sharded	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census-sharded	2026-08-28T04:22:31Z	2026-08-28T04:22:37Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890951009-build-local-candidate-census-sharded.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890951009-build-local-candidate-census-sharded.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787890951009-build-local-candidate-census-sharded.meta.json
1787891365788-verify-local-candidate-census	LOCAL_CANDIDATE_UNIVERSE_CENSUS	verify-local-candidate-census	2026-08-28T04:29:25Z	2026-08-28T04:29:29Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_local_candidate_census.py --repo . --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-independent-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787891365788-verify-local-candidate-census.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787891365788-verify-local-candidate-census.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787891365788-verify-local-candidate-census.meta.json
1787892018825-verify-local-candidate-census-hardened	LOCAL_CANDIDATE_UNIVERSE_CENSUS	verify-local-candidate-census-hardened	2026-08-28T04:40:18Z	2026-08-28T04:40:25Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_local_candidate_census.py --repo . --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-independent-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892018825-verify-local-candidate-census-hardened.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892018825-verify-local-candidate-census-hardened.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892018825-verify-local-candidate-census-hardened.meta.json
1787892134020-build-local-candidate-census-no-loss-correction	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census-no-loss-correction	2026-08-28T04:42:14Z	2026-08-28T04:42:20Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892134020-build-local-candidate-census-no-loss-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892134020-build-local-candidate-census-no-loss-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892134020-build-local-candidate-census-no-loss-correction.meta.json
1787892290484-build-local-candidate-census-selector-correction	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census-selector-correction	2026-08-28T04:44:50Z	2026-08-28T04:44:56Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892290484-build-local-candidate-census-selector-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892290484-build-local-candidate-census-selector-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892290484-build-local-candidate-census-selector-correction.meta.json
1787892519011-build-local-candidate-census-v2-representation-correction	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census-v2-representation-correction	2026-08-28T04:48:39Z	2026-08-28T04:48:45Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892519011-build-local-candidate-census-v2-representation-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892519011-build-local-candidate-census-v2-representation-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892519011-build-local-candidate-census-v2-representation-correction.meta.json
1787892601475-build-local-candidate-census-sparse-hyperedge-correction	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census-sparse-hyperedge-correction	2026-08-28T04:50:01Z	2026-08-28T04:50:08Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892601475-build-local-candidate-census-sparse-hyperedge-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892601475-build-local-candidate-census-sparse-hyperedge-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892601475-build-local-candidate-census-sparse-hyperedge-correction.meta.json
1787892763431-build-local-candidate-census-state-index-shard-correction	LOCAL_CANDIDATE_UNIVERSE_CENSUS	build-local-candidate-census-state-index-shard-correction	2026-08-28T04:52:43Z	2026-08-28T04:52:50Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892763431-build-local-candidate-census-state-index-shard-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892763431-build-local-candidate-census-state-index-shard-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892763431-build-local-candidate-census-state-index-shard-correction.meta.json
1787892819935-verify-local-candidate-census-final	LOCAL_CANDIDATE_UNIVERSE_CENSUS	verify-local-candidate-census-final	2026-08-28T04:53:39Z	2026-08-28T04:53:46Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_local_candidate_census.py --repo . --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-independent-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892819935-verify-local-candidate-census-final.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892819935-verify-local-candidate-census-final.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892819935-verify-local-candidate-census-final.meta.json
1787892918778-verify-method-checkpoint-regression-checkpoint003	LOCAL_CANDIDATE_UNIVERSE_CENSUS	verify-method-checkpoint-regression-checkpoint003	2026-08-28T04:55:18Z	2026-08-28T04:55:19Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_method_checkpoint.py --repo . --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/method-independent-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892918778-verify-method-checkpoint-regression-checkpoint003.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892918778-verify-method-checkpoint-regression-checkpoint003.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892918778-verify-method-checkpoint-regression-checkpoint003.meta.json
1787892927565-repository-hygiene-checkpoint003	LOCAL_CANDIDATE_UNIVERSE_CENSUS	repository-hygiene-checkpoint003	2026-08-28T04:55:27Z	2026-08-28T04:55:37Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/repository/audit_repository_hygiene.py --repo . --json docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/repository-hygiene-checkpoint003.json --markdown docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/repository-hygiene-checkpoint003.md	1	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892927565-repository-hygiene-checkpoint003.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892927565-repository-hygiene-checkpoint003.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892927565-repository-hygiene-checkpoint003.meta.json
1787892956425-repository-hygiene-checkpoint003-retry	LOCAL_CANDIDATE_UNIVERSE_CENSUS	repository-hygiene-checkpoint003-retry	2026-08-28T04:55:56Z	2026-08-28T04:56:05Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/repository/audit_repository_hygiene.py --repo . --json docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/repository-hygiene-checkpoint003.json --markdown docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/repository-hygiene-checkpoint003.md	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892956425-repository-hygiene-checkpoint003-retry.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892956425-repository-hygiene-checkpoint003-retry.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892956425-repository-hygiene-checkpoint003-retry.meta.json
1787892986623-git-lfs-fsck-checkpoint003	LOCAL_CANDIDATE_UNIVERSE_CENSUS	git-lfs-fsck-checkpoint003	2026-08-28T04:56:26Z	2026-08-28T04:56:28Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	git lfs fsck --objects --pointers	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892986623-git-lfs-fsck-checkpoint003.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892986623-git-lfs-fsck-checkpoint003.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892986623-git-lfs-fsck-checkpoint003.meta.json
1787892994248-git-fsck-checkpoint003	LOCAL_CANDIDATE_UNIVERSE_CENSUS	git-fsck-checkpoint003	2026-08-28T04:56:34Z	2026-08-28T04:58:05Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	git fsck --full --strict --no-dangling	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892994248-git-fsck-checkpoint003.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892994248-git-fsck-checkpoint003.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787892994248-git-fsck-checkpoint003.meta.json
1787893557329-build-local-candidate-census-surface-and-file-coverage-correction	CHECKPOINT-003	build-local-candidate-census-surface-and-file-coverage-correction	2026-08-28T05:05:57Z	2026-08-28T05:06:04Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787893557329-build-local-candidate-census-surface-and-file-coverage-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787893557329-build-local-candidate-census-surface-and-file-coverage-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787893557329-build-local-candidate-census-surface-and-file-coverage-correction.meta.json
1787893723913-build-local-candidate-census-final-boundary-correction	CHECKPOINT-003	build-local-candidate-census-final-boundary-correction	2026-08-28T05:08:43Z	2026-08-28T05:08:51Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/build_local_candidate_census.py	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787893723913-build-local-candidate-census-final-boundary-correction.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787893723913-build-local-candidate-census-final-boundary-correction.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787893723913-build-local-candidate-census-final-boundary-correction.meta.json
1787894163648-verify-local-candidate-census-surface-and-file-coverage-final	CHECKPOINT-003	verify-local-candidate-census-surface-and-file-coverage-final	2026-08-28T05:16:03Z	2026-08-28T05:16:11Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_local_candidate_census.py --repo . --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-independent-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894163648-verify-local-candidate-census-surface-and-file-coverage-final.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894163648-verify-local-candidate-census-surface-and-file-coverage-final.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894163648-verify-local-candidate-census-surface-and-file-coverage-final.meta.json
1787894307832-repository-hygiene-checkpoint003-final	CHECKPOINT-003	repository-hygiene-checkpoint003-final	2026-08-28T05:18:27Z	2026-08-28T05:18:37Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/repository/audit_repository_hygiene.py --repo . --json docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/repository-hygiene-checkpoint003.json --markdown docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/repository-hygiene-checkpoint003.md	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894307832-repository-hygiene-checkpoint003-final.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894307832-repository-hygiene-checkpoint003-final.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894307832-repository-hygiene-checkpoint003-final.meta.json
1787894332154-new-blob-policy-checkpoint003	CHECKPOINT-003	new-blob-policy-checkpoint003	2026-08-28T05:18:52Z	2026-08-28T05:18:52Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_new_blob_policy.py --repo . --policy docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large-file-policy.json --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/new-blob-policy-verification.json	1	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894332154-new-blob-policy-checkpoint003.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894332154-new-blob-policy-checkpoint003.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894332154-new-blob-policy-checkpoint003.meta.json
1787894347031-new-blob-policy-checkpoint003-retry	CHECKPOINT-003	new-blob-policy-checkpoint003-retry	2026-08-28T05:19:07Z	2026-08-28T05:19:10Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	python3 scripts/trace_round16b/verify_new_blob_policy.py --repo . --policy docs/audits/v49-exploration-higher-order-association-closure-round16b/large-file-policy.json --output docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/new-blob-policy-verification.json	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894347031-new-blob-policy-checkpoint003-retry.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894347031-new-blob-policy-checkpoint003-retry.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894347031-new-blob-policy-checkpoint003-retry.meta.json
1787894359283-git-lfs-fsck-checkpoint003-final	CHECKPOINT-003	git-lfs-fsck-checkpoint003-final	2026-08-28T05:19:19Z	2026-08-28T05:19:21Z	/private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	git lfs fsck --objects --pointers	0	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894359283-git-lfs-fsck-checkpoint003-final.stdout.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894359283-git-lfs-fsck-checkpoint003-final.stderr.log	v49-exploration-higher-order-association-closure-round16b/raw/commands/1787894359283-git-lfs-fsck-checkpoint003-final.meta.json
