group_type,group_value,records_total,source_visible_count,source_visible_rate,publication_grade_count,publication_grade_rate,weighted_publication_score,weighted_publication_rate,open_image_count,open_image_rate,rights_labeled_count,rights_labeled_rate,unclear_image_state_count,unclear_image_state_rate,anchor_image_available_count,anchor_image_available_rate,duplicate_image_url_records,duplicate_image_url_rate,img00_count,img01_count,img02_count,img03_count,img04_count
source_name,Desain Grafis Indonesia,4,4,100.00,4,100.00,2.20,55.00,0,0.00,4,100.00,0,0.00,4,100.00,0,0.00,0,0,4,0,0
source_name,University of Ghana Digital Collections,4,0,0.00,0,0.00,0.00,0.00,0,0.00,4,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,4
source_name,Biblioteca Nacional Digital de Chile / Memoria Chilena,3,3,100.00,3,100.00,1.65,55.00,0,0.00,3,100.00,0,0.00,3,100.00,0,0.00,0,0,3,0,0
source_name,Getty Research Portal,3,0,0.00,0,0.00,0.00,0.00,0,0.00,3,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,3
source_name,SMU Libraries Digital Collections / CONTENTdm,3,3,100.00,3,100.00,1.65,55.00,0,0.00,3,100.00,0,0.00,3,100.00,0,0.00,0,0,3,0,0
source_name,South African History Archive,3,3,100.00,3,100.00,1.65,55.00,0,0.00,3,100.00,0,0.00,3,100.00,0,0.00,0,0,3,0,0
source_name,NAIDOC / AIATSIS,2,0,0.00,0,0.00,0.00,0.00,0,0.00,2,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,2
source_name,National Repository of Nigeria,2,0,0.00,0,0.00,0.00,0.00,0,0.00,2,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,2
source_name,Roots.sg / National Heritage Board Singapore,2,2,100.00,2,100.00,1.10,55.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,0,0,2,0,0
source_name,University of Cape Town Digital Collections,2,2,100.00,2,100.00,1.10,55.00,0,0.00,2,100.00,0,0.00,2,100.00,0,0.00,0,0,2,0,0
source_name,Bophana Audiovisual Resource Center,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Temple University Libraries Digital Collections / CONTENTdm,1,1,100.00,1,100.00,0.55,55.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0,1,0,0
